question,label,clean_text,label_id
Calculate the mean of this data set.,Apply,calculate_ROOT ROOT the_det det mean_dobj dobj of_prep prep this_det det datum_pobj pobj set_ccomp ccomp,1
Explain why the sky appears blue.,Understand,explain_ROOT ROOT why_advmod advmod the_det det sky_nsubj nsubj appear_ccomp ccomp blue_advcl advcl,5
Determine which solution is most cost-effective.,Evaluate,determine_ROOT ROOT which_det det solution_nsubj nsubj be_ccomp ccomp most_advmod advmod costeffective_acomp acomp,3
Critique the design of this scientific study.,Evaluate,critique_ROOT ROOT the_det det design_dobj dobj of_prep prep this_det det scientific_amod amod study_pobj pobj,3
What is the formula for calculating area of a rectangle?,Remember,what_attr attr be_ROOT ROOT the_det det formula_nsubj nsubj for_prep prep calculate_pcomp pcomp area_dobj dobj of_prep prep a_det det rectangle_pobj pobj,4
Use statistical methods to analyze survey results.,Apply,use_ROOT ROOT statistical_amod amod method_dobj dobj to_aux aux analyze_xcomp xcomp survey_compound compound result_dobj dobj,1
Analyze the cultural influences on this artwork.,Analyze,analyze_ROOT ROOT the_det det cultural_amod amod influence_dobj dobj on_prep prep this_det det artwork_pobj pobj,0
Apply cooking techniques to prepare a simple meal.,Apply,apply_ROOT ROOT cooking_compound compound technique_dobj dobj to_aux aux prepare_advcl advcl a_det det simple_amod amod meal_dobj dobj,1
Summarize the main events of the French Revolution.,Understand,summarize_ROOT ROOT the_det det main_amod amod event_dobj dobj of_prep prep the_det det french_amod amod revolution_pobj pobj,5
Use the Pythagorean theorem to find the missing side.,Apply,use_ROOT ROOT the_det det pythagorean_dobj dobj theorem_dobj dobj to_aux aux find_xcomp xcomp the_det det miss_amod amod side_dobj dobj,1
Describe the relationship between predator and prey.,Understand,describe_ROOT ROOT the_det det relationship_dobj dobj between_prep prep predator_pobj pobj and_cc cc prey_conj conj,5
What year did World War II end?,Remember,what_det det year_dobj dobj do_aux aux world_compound compound war_compound compound ii_compound compound end_ROOT ROOT,4
Solve this algebra problem using the quadratic formula.,Apply,solve_ROOT ROOT this_det det algebra_compound compound problem_dobj dobj use_advcl advcl the_det det quadratic_amod amod formula_dobj dobj,1
Evaluate the success of the government's economic policy.,Evaluate,evaluate_ROOT ROOT the_det det success_dobj dobj of_prep prep the_det det government_nmod nmod economic_amod amod policy_pobj pobj,3
Break down the components of a successful marketing campaign.,Analyze,break_ROOT ROOT down_prt prt the_det det component_dobj dobj of_prep prep a_det det successful_amod amod marketing_compound compound campaign_pobj pobj,0
Describe what happens during an earthquake.,Understand,describe_ROOT ROOT what_nsubj nsubj happen_ccomp ccomp during_prep prep an_det det earthquake_pobj pobj,5
Apply the principles of first aid to treat a burn.,Apply,apply_ROOT ROOT the_det det principle_dobj dobj of_prep prep first_amod amod aid_pobj pobj to_aux aux treat_advcl advcl a_det det burn_dobj dobj,1
What is the largest planet in our solar system?,Remember,what_attr attr be_ROOT ROOT the_det det large_amod amod planet_nsubj nsubj in_prep prep our_poss poss solar_amod amod system_pobj pobj,4
Interpret the meaning of this poem.,Understand,interpret_ROOT ROOT the_det det meaning_dobj dobj of_prep prep this_det det poem_pobj pobj,5
Develop a marketing strategy for a new product.,Create,develop_ROOT ROOT a_det det marketing_compound compound strategy_dobj dobj for_prep prep a_det det new_amod amod product_pobj pobj,2
List the primary colors.,Remember,list_ROOT ROOT the_det det primary_amod amod color_dobj dobj,4
Define the term 'ecosystem'.,Remember,define_ROOT ROOT the_det det term_compound compound ecosystem_dobj dobj,4
What is the capital city of Japan?,Remember,what_attr attr be_ROOT ROOT the_det det capital_compound compound city_nsubj nsubj of_prep prep japan_pobj pobj,4
Create an original piece of artwork expressing a theme.,Create,create_ROOT ROOT an_det det original_amod amod piece_dobj dobj of_prep prep artwork_pobj pobj express_acl acl a_det det theme_dobj dobj,2
Apply Newton's laws to explain why a ball falls.,Apply,apply_ROOT ROOT newton_compound compound law_dobj dobj to_aux aux explain_advcl advcl why_advmod advmod a_det det ball_nsubj nsubj fall_ccomp ccomp,1
What is the boiling point of water in Celsius?,Remember,what_attr attr be_ROOT ROOT the_det det boiling_compound compound point_nsubj nsubj of_prep prep water_pobj pobj in_prep prep celsius_pobj pobj,4
List the steps of the scientific method.,Remember,list_ROOT ROOT the_det det step_dobj dobj of_prep prep the_det det scientific_amod amod method_pobj pobj,4
Analyze the causes and effects of pollution.,Analyze,analyze_ROOT ROOT the_det det cause_dobj dobj and_cc cc effect_conj conj of_prep prep pollution_pobj pobj,0
Apply the rules of debate to construct an argument.,Apply,apply_ROOT ROOT the_det det rule_dobj dobj of_prep prep debate_pobj pobj to_aux aux construct_advcl advcl an_det det argument_dobj dobj,1
